Round,CWND,SSThresh,Phase,Event
1,2.0,8.0,Slow Start,ACK Received
2,4.0,8.0,Slow Start,ACK Received
3,8.0,8.0,Slow Start,ACK Received
4,9.0,8.0,Congestion Avoidance,ACK Received
5,10.0,8.0,Congestion Avoidance,ACK Received
6,11.0,8.0,Congestion Avoidance,ACK Received
7,1.0,5.5,Slow Start,Packet Loss
8,2.0,5.5,Slow Start,ACK Received
9,4.0,5.5,Slow Start,ACK Received
10,1.0,2.0,Slow Start,Packet Loss
11,1.0,2.0,Slow Start,Triple Dup ACK
12,2.0,2.0,Slow Start,ACK Received
13,1.0,2.0,Slow Start,Triple Dup ACK
14,2.0,2.0,Slow Start,ACK Received
15,1.0,2.0,Slow Start,Triple Dup ACK
16,2.0,2.0,Slow Start,ACK Received
17,1.0,2.0,Slow Start,Triple Dup ACK
18,2.0,2.0,Slow Start,ACK Received
19,1.0,2.0,Slow Start,Triple Dup ACK
20,2.0,2.0,Slow Start,ACK Received
21,1.0,2.0,Slow Start,Triple Dup ACK
22,2.0,2.0,Slow Start,ACK Received
23,1.0,2.0,Slow Start,Triple Dup ACK
24,2.0,2.0,Slow Start,ACK Received
25,1.0,2.0,Slow Start,Triple Dup ACK
26,2.0,2.0,Slow Start,ACK Received
27,1.0,2.0,Slow Start,Triple Dup ACK
28,2.0,2.0,Slow Start,ACK Received
29,1.0,2.0,Slow Start,Triple Dup ACK
30,2.0,2.0,Slow Start,ACK Received
31,1.0,2.0,Slow Start,Triple Dup ACK
32,2.0,2.0,Slow Start,ACK Received
33,1.0,2.0,Slow Start,Triple Dup ACK
34,2.0,2.0,Slow Start,ACK Received
35,1.0,2.0,Slow Start,Triple Dup ACK
36,2.0,2.0,Slow Start,ACK Received
37,1.0,2.0,Slow Start,Triple Dup ACK
38,2.0,2.0,Slow Start,ACK Received
39,1.0,2.0,Slow Start,Triple Dup ACK
40,2.0,2.0,Slow Start,ACK Received
41,1.0,2.0,Slow Start,Triple Dup ACK
42,2.0,2.0,Slow Start,ACK Received
43,1.0,2.0,Slow Start,Triple Dup ACK
44,2.0,2.0,Slow Start,ACK Received
45,1.0,2.0,Slow Start,Triple Dup ACK
46,2.0,2.0,Slow Start,ACK Received
47,1.0,2.0,Slow Start,Triple Dup ACK
48,2.0,2.0,Slow Start,ACK Received
49,1.0,2.0,Slow Start,Triple Dup ACK
50,2.0,2.0,Slow Start,ACK Received
51,1.0,2.0,Slow Start,Triple Dup ACK
52,2.0,2.0,Slow Start,ACK Received
53,1.0,2.0,Slow Start,Triple Dup ACK
54,2.0,2.0,Slow Start,ACK Received
55,1.0,2.0,Slow Start,Triple Dup ACK
56,2.0,2.0,Slow Start,ACK Received
57,1.0,2.0,Slow Start,Triple Dup ACK
58,2.0,2.0,Slow Start,ACK Received
59,1.0,2.0,Slow Start,Triple Dup ACK
60,2.0,2.0,Slow Start,ACK Received
61,1.0,2.0,Slow Start,Triple Dup ACK
62,2.0,2.0,Slow Start,ACK Received
63,3.0,2.0,Congestion Avoidance,ACK Received
64,1.0,2.0,Slow Start,Triple Dup ACK
65,2.0,2.0,Slow Start,ACK Received
66,1.0,2.0,Slow Start,Triple Dup ACK
67,2.0,2.0,Slow Start,ACK Received
